Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_4x5.4,2,10u,
"C10, C46, C47, C55, C7, C8, C9",0603,7,0.01u,
C11,CP_Elec_5x5.9,1,47u,
"C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C50, C51",0603,34,1u,
"C3, C4, C44, C45, C5, C52, C53, C54, C6",0603,9,0.1u,
"C48, C49",0603,2,C_Small,
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Female,
J2,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
"J3, J4, J5, J6",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Male,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R4, R5, R6, R7, R8, R9",0603,32,15k,
"R33, R34, R35, R36, R41, R42, R43, R44, R49, R50",0603,10,100k,
"R37, R38",0603,2,R_Small_US,
"R39, R40",0603,2,1k,
"R45, R46, R47, R48",0603,4,10k,
U1,SOT-223-3_TabPin2,1,LT1963AxST-3.3,
"U10, U5, U6, U9",SOIC-20W_7.5x12.8mm_P1.27mm,4,74HCT574,
U2,SOIC8_ONS,1,NB3L553DR2G,
"U3, U4",SOT-363_SC-70-6_Handsoldering,2,74LVC2G04,
"U7, U8",SOIC-8_3.9x4.9mm_P1.27mm,2,OPA2356xxD,
