Designator,Mid X,Mid Y,Rotation,Layer
C1,15.0,7.0,0.0,top
C10,41.0,15.0,270.0,top
C11,61.0,27.5,0.0,top
C12,56.0,36.0,270.0,top
C13,54.0,36.0,270.0,top
C14,52.0,36.0,270.0,top
C15,50.0,36.0,270.0,top
C16,48.0,36.0,270.0,top
C17,46.0,36.0,270.0,top
C18,44.0,36.0,270.0,top
C19,42.0,36.0,270.0,top
C2,15.0,22.0,0.0,top
C20,38.0,36.0,270.0,top
C21,36.0,36.0,270.0,top
C22,34.0,36.0,270.0,top
C23,32.0,36.0,270.0,top
C24,30.0,36.0,270.0,top
C25,28.0,36.0,270.0,top
C26,26.0,36.0,270.0,top
C27,24.0,36.0,270.0,top
C28,24.0,19.1375,90.0,top
C29,26.0,19.1375,90.0,top
C3,41.0,40.0,90.0,top
C30,28.0,19.1375,90.0,top
C31,30.0,19.1375,90.0,top
C32,32.0,19.1375,90.0,top
C33,34.0,19.1375,90.0,top
C34,36.0,19.1375,90.0,top
C35,38.0,19.1375,90.0,top
C36,42.06,19.1375,90.0,top
C37,44.06,19.1375,90.0,top
C38,46.06,19.1375,90.0,top
C39,48.06,19.1375,90.0,top
C4,59.0,40.0,90.0,top
C40,50.06,19.1375,90.0,top
C41,52.06,19.1375,90.0,top
C42,54.06,19.1375,90.0,top
C43,56.06,19.1375,90.0,top
C44,72.0,10.0,90.0,top
C45,72.0,41.0,90.0,top
C46,70.0,10.0,90.0,top
C47,70.0,41.0,90.0,top
C48,67.0,36.0,0.0,top
C49,67.0,19.2,0.0,top
C5,21.0,15.0,270.0,top
C50,71.0,5.0,0.0,top
C51,70.925,50.0,0.0,top
C52,40.0,9.7,0.0,top
C53,40.0,44.8,180.0,top
C54,14.8625,36.0,180.0,top
C55,14.8625,34.0,180.0,top
C6,39.0,15.0,270.0,top
C7,39.0,40.0,90.0,top
C8,57.0,40.0,90.0,top
C9,23.0,15.0,270.0,top
J1,6.55,12.0,90.0,top
J2,6.0,32.0,180.0,top
J3,78.275,49.0,90.0,top
J4,78.275,35.0,90.0,top
J5,78.275,6.0,90.0,top
J6,78.275,21.0,90.0,top
R1,56.0,32.0,270.0,top
R10,36.0,32.0,270.0,top
R11,34.0,32.0,270.0,top
R12,32.0,32.0,270.0,top
R13,30.0,32.0,270.0,top
R14,28.0,32.0,270.0,top
R15,26.0,32.0,270.0,top
R16,24.0,32.0,270.0,top
R17,24.0,23.0,90.0,top
R18,26.0,23.0,90.0,top
R19,28.0,23.0,90.0,top
R2,54.0,32.0,270.0,top
R20,30.0,23.0,90.0,top
R21,32.0,23.0,90.0,top
R22,34.0,23.0,90.0,top
R23,36.0,23.0,90.0,top
R24,38.0,23.0,90.0,top
R25,42.06,23.0,90.0,top
R26,44.06,23.0,90.0,top
R27,46.06,23.0,90.0,top
R28,48.06,23.0,90.0,top
R29,50.06,23.0,90.0,top
R3,52.0,32.0,270.0,top
R30,52.06,23.0,90.0,top
R31,54.06,23.0,90.0,top
R32,56.06,23.0,90.0,top
R33,66.9125,38.0,0.0,bottom
R34,63.0,38.0,0.0,bottom
R35,66.964172,17.0825,0.0,bottom
R36,62.964172,17.0825,0.0,bottom
R37,63.3,36.0,0.0,top
R38,63.0,19.2,0.0,top
R39,66.0,17.0,180.0,top
R4,50.0,32.0,270.0,top
R40,66.0,38.0,180.0,top
R41,63.0875,5.0,180.0,bottom
R42,67.0,5.0,180.0,bottom
R43,62.925,49.9525,180.0,bottom
R44,66.825,49.9525,180.0,bottom
R45,63.125,50.0,0.0,top
R46,63.545276,5.0,0.0,top
R47,67.0,5.0,0.0,top
R48,66.925,50.0,0.0,top
R49,74.0,6.0,90.0,top
R5,48.0,32.0,270.0,top
R50,74.0,49.0,270.0,top
R6,46.0,32.0,270.0,top
R7,44.0,32.0,270.0,top
R8,42.0,32.0,270.0,top
R9,38.0,32.0,270.0,top
U1,15.0,15.0,0.0,top
U10,49.0,11.0,0.0,top
U2,15.0,29.0,270.0,top
U3,40.0,48.0,90.0,top
U4,40.0,6.4,270.0,top
U5,49.0,44.0,180.0,top
U6,31.0,44.0,180.0,top
U7,66.0,43.0,180.0,top
U8,66.0,12.0,180.0,top
U9,31.0,11.0,0.0,top
